Unnamed: 0,subject,condition,scale,mmse
0,0,two_back,0,0.0036896132307994
1,0,two_back,1,0.0057275633547449
2,0,two_back,2,0.0095547640169548
3,0,two_back,3,0.0135000994400712
4,0,two_back,4,0.0170069816256389
5,0,two_back,5,0.019097540647725
6,0,two_back,6,0.0192277864029516
7,0,two_back,7,0.022358084718795
0,0,no_back,0,-0.0032545377241499
1,0,no_back,1,-0.0033845665909156
2,0,no_back,2,-0.0031442976618109
3,0,no_back,3,-0.0019282401494701
4,0,no_back,4,0.0013328165638115
5,0,no_back,5,0.0037470287694941
6,0,no_back,6,0.0046048188260525
7,0,no_back,7,0.0077008082024953
0,1,two_back,0,0.0127598279516733
1,1,two_back,1,0.0150020706772171
2,1,two_back,2,0.020713392699907
3,1,two_back,3,0.0235139693809329
4,1,two_back,4,0.0273524034867958
5,1,two_back,5,0.0293447368346981
6,1,two_back,6,0.0265047071105699
7,1,two_back,7,0.030720131373224
0,1,no_back,0,0.0124799348097228
1,1,no_back,1,0.0138444312082619
2,1,no_back,2,0.0150017872735042
3,1,no_back,3,0.0152271331909696
4,1,no_back,4,0.018089786266082
5,1,no_back,5,0.0226495306349337
6,1,no_back,6,0.0262804884342314
7,1,no_back,7,0.0272528673698531
0,2,two_back,0,0.0138760793718263
1,2,two_back,1,0.0175839751669269
2,2,two_back,2,0.0225096175311975
3,2,two_back,3,0.0253865975827654
4,2,two_back,4,0.0289166009374314
5,2,two_back,5,0.0349615695613169
6,2,two_back,6,0.0404603387787074
7,2,two_back,7,0.0460926034290094
0,2,no_back,0,0.0063272274935233
1,2,no_back,1,0.0117453615472115
2,2,no_back,2,0.016712619559471
3,2,no_back,3,0.0230900351747739
4,2,no_back,4,0.0284737039937755
5,2,no_back,5,0.03364997298324
6,2,no_back,6,0.0380894473711043
7,2,no_back,7,0.0449119300167299
0,3,two_back,0,0.0064599173253233
1,3,two_back,1,0.0076517619101371
2,3,two_back,2,0.0063649337338357
3,3,two_back,3,0.0002979578544925
4,3,two_back,4,-0.003789244068798
5,3,two_back,5,-0.0043839774792031
6,3,two_back,6,-0.0080040336388321
7,3,two_back,7,-0.0116768041485058
0,3,no_back,0,0.0024342103858557
1,3,no_back,1,0.0017916209744772
2,3,no_back,2,0.0068331081009386
3,3,no_back,3,0.0064900338064396
4,3,no_back,4,0.0088465263350262
5,3,no_back,5,0.009737024249786
6,3,no_back,6,0.0038076992210772
7,3,no_back,7,0.006193926066613
0,4,two_back,0,0.0203700030497781
1,4,two_back,1,0.0250788578732658
2,4,two_back,2,0.0298914327055974
3,4,two_back,3,0.0336863757213461
4,4,two_back,4,0.0341582273549944
5,4,two_back,5,0.0372248230438973
6,4,two_back,6,0.0341591402917182
7,4,two_back,7,0.0391952895028632
0,4,no_back,0,0.0148242821723839
1,4,no_back,1,0.0180451903302028
2,4,no_back,2,0.0203587321891595
3,4,no_back,3,0.0240192289463139
4,4,no_back,4,0.0250166438701808
5,4,no_back,5,0.0264165313490157
6,4,no_back,6,0.0270198404471905
7,4,no_back,7,0.0253630900852638
0,5,two_back,0,0.0066963006505616
1,5,two_back,1,0.007228024577841
2,5,two_back,2,0.0068053903894773
3,5,two_back,3,0.0072279388193282
4,5,two_back,4,0.007980692152584
5,5,two_back,5,0.0074950861347695
6,5,two_back,6,0.0066859181556127
7,5,two_back,7,0.005689804238612
0,5,no_back,0,0.0081709217909116
1,5,no_back,1,0.0117419429146197
2,5,no_back,2,0.0154477129076638
3,5,no_back,3,0.0171038226679322
4,5,no_back,4,0.0169554498353507
5,5,no_back,5,0.0184523024601182
6,5,no_back,6,0.0166388322499242
7,5,no_back,7,0.0185509373067275
0,6,two_back,0,0.0219713589160365
1,6,two_back,1,0.0231271330470566
2,6,two_back,2,0.0222878892558718
3,6,two_back,3,0.0222881788667848
4,6,two_back,4,0.0237052700948273
5,6,two_back,5,0.0253909605738562
6,6,two_back,6,0.0315791648361992
7,6,two_back,7,0.032348712963302
0,6,no_back,0,0.0160535542588553
1,6,no_back,1,0.0161331443557433
2,6,no_back,2,0.0180836880678824
3,6,no_back,3,0.0245783092961823
4,6,no_back,4,0.0343029610108108
5,6,no_back,5,0.0371233184758587
6,6,no_back,6,0.0415064498177953
7,6,no_back,7,0.0475853606957538
0,7,two_back,0,0.0122977968669252
1,7,two_back,1,0.0164052583774262
2,7,two_back,2,0.0168487464318919
3,7,two_back,3,0.0187679902157158
4,7,two_back,4,0.0188799034711984
5,7,two_back,5,0.020836862275967
6,7,two_back,6,0.0153221680653638
7,7,two_back,7,0.0148021402123077
0,7,no_back,0,0.0094612493905622
1,7,no_back,1,0.0096601709071454
2,7,no_back,2,0.0143137353094336
3,7,no_back,3,0.020792657204172
4,7,no_back,4,0.0270369603602327
